"","df_m.full_address","df.town","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1","309, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE","ANG MO KIO","309, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",1.3653049,103.8389773,1.3645341,1.3661172,103.836742,103.8412298
"2","216, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE","ANG MO KIO","216, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",1.3653049,103.8389773,1.3645341,1.3661172,103.836742,103.8412298
"3","211, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","211, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"4","202, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","202, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3684673,103.8441542,1.3684173,1.3685173,103.8441042,103.8442042
"5","235, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","235, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"6","232, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","232, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"7","308, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE","ANG MO KIO","308, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",1.3653049,103.8389773,1.3645341,1.3661172,103.836742,103.8412298
"8","220, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE","ANG MO KIO","220, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",1.3655748,103.840550928858,1.365381,1.3657685,103.8401772,103.8409247
"9","219, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE","ANG MO KIO","219, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",1.3659481,103.840644937271,1.3657648,1.3661314,103.8402567,103.8410332
"10","247, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","247, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"11","320, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE","ANG MO KIO","320, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",1.3653049,103.8389773,1.3645341,1.3661172,103.836742,103.8412298
"12","252, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE","ANG MO KIO","252, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE",1.3830216,103.8382033,1.3823681,1.3830216,103.8382033,103.8386504
"13","223, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE","ANG MO KIO","223, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",1.3653049,103.8389773,1.3645341,1.3661172,103.836742,103.8412298
"14","230, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","230, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"15","329, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","329, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"16","313, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","313, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"17","117, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE","ANG MO KIO","117, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE",1.37378645,103.835523379954,1.3734188,1.374046,103.8352606,103.8360124
"18","110, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE","ANG MO KIO","110, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE",1.3830216,103.8382033,1.3823681,1.3830216,103.8382033,103.8386504
"19","343, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","343, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.36832515,103.849141911782,1.3682578,1.3684453,103.8485861,103.8496969
"20","345, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","345, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"21","346, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","346, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"22","121, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","121, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"23","129, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","129, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"24","130, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","130, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"25","128, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","128, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"26","127, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","127, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"27","126, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","126, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"28","403, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","403, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"29","404, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","404, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"30","405, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","405, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"31","417, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","417, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.36491055,103.855198278349,1.3646566,1.3651441,103.8547023,103.855711
"32","418, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","418, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.36493535,103.854060769163,1.3646919,1.3651794,103.8535585,103.8545603
"33","419, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","419, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.36529435,103.854153769163,1.3650509,1.3655384,103.8536515,103.8546533
"34","441, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","441, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"35","442, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","442, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"36","443, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","443, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"37","444, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","444, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"38","450, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","450, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"39","435, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","435, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"40","433, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","433, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"41","434, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","434, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"42","424, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","424, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"43","425, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","425, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
"44","466, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","466, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"45","471, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","471, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"46","474, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE","ANG MO KIO","474, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",1.3702743,103.8568739,1.3700437,1.3702743,103.8568739,103.8568831
"47","570, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE","ANG MO KIO","570, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",1.3692045,103.8439488,1.3691948,1.3692045,103.8439488,103.8440334
