full_address,town,lat,lon
"309, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3653049,103.8389773
"216, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3653049,103.8389773
"211, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"202, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3684673,103.8441542
"235, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"232, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"308, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3653049,103.8389773
"220, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3655748,103.8405509
"219, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3659481,103.8406449
"247, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"320, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3653049,103.8389773
"252, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3830216,103.8382033
"223, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3653049,103.8389773
"230, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"329, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"313, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"117, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE",ANG MO KIO,1.37378645,103.8355234
"110, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3830216,103.8382033
"343, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.36832515,103.8491419
"345, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"346, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"121, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"129, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"130, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"128, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"127, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"126, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"403, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"404, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"405, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"417, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.36491055,103.8551983
"418, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.36493535,103.8540608
"419, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.36529435,103.8541538
"441, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"442, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"443, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"444, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"450, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"435, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"433, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"434, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"424, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"425, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"466, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"471, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"474, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"570, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"586, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"455, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3690208,103.8568996
"465, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"463, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"564, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"560, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"558, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"559, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"538, ANG MO KIO AVENUE 5, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3766461,103.8477974
"534, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"601, ANG MO KIO AVENUE 5, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3766461,103.8477974
"603, ANG MO KIO AVENUE 5, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3766461,103.8477974
"604, ANG MO KIO AVENUE 5, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3766461,103.8477974
"608, ANG MO KIO AVENUE 5, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3766461,103.8477974
"611, ANG MO KIO AVENUE 5, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3766461,103.8477974
"505, ANG MO KIO AVENUE 8, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3663571,103.8513202
"503, ANG MO KIO AVENUE 5, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3766461,103.8477974
"610, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3830216,103.8382033
"607, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3830216,103.8382033
"524, ANG MO KIO AVENUE 5, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3766461,103.8477974
"513, ANG MO KIO AVENUE 8, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3663571,103.8513202
"643, ANG MO KIO AVENUE 5, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3766461,103.8477974
"542, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"548, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"550, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"639, ANG MO KIO AVENUE 6, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3666548,103.8444184
"637, ANG MO KIO AVENUE 6, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3666548,103.8444184
"330, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3624356,103.8510191
"333, ANG MO KIO AVENUE 1, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3613511,103.8516895
"156, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE",ANG MO KIO,1.37550225,103.8399568
"152, ANG MO KIO AVENUE 5, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3767082,103.8398356
"178, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3763809,103.8368214
"180, ANG MO KIO AVENUE 5, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3766461,103.8477974
"209, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"231, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"254, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3830216,103.8382033
"103, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"105, ANG MO KIO AVENUE 4, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3830216,103.8382033
"344, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.36795345,103.8492745
"324, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3682945,103.8469199
"120, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
"124, ANG MO KIO AVENUE 6, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3666548,103.8444184
"414, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"438, ANG MO KIO AVENUE 10, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3702743,103.8568739
"427, ANG MO KIO AVENUE 3, ANG MO KIO, SINGAPORE",ANG MO KIO,1.3692045,103.8439488
